,Title,details
0,Chhapaak,biography drama meghnagulzar deepikapadukone vikrantmassey vishaldahiya madhurjeetsarghi trials triumphs malti acid attack survivor investigation attack court proceedings medical treatment emotional healing chhapaak story unquashable human spirit 
1,Tanhaji: The Unsung Warrior,action biography drama omraut ajaydevgn saifalikhan kajol rajeshaher tanhaji malusare military chieftain army maratha king shivaji leads charge capture strategically important kondhana fort guarded army fierce rajput chieftain udaybhan rathod 
2,Chhichhore,comedy drama niteshtiwari sushantsinghrajput shraddhakapoor varunsharma prateik following group friends university progress middle age life go separate ways 
3,Kabir Singh,drama romance sandeepreddyvanga shahidkapoor kiaraadvani nikitadutta sohammajumdar kabir singh remake telugu movie arjun reddy short tempered house surgeon gets used drugs drinks girlfriend forced marry another person 
4,Knives Out,comedy crime drama rianjohnson danielcraig chrisevans anadearmas jamieleecurtis detective investigates death patriarch eccentric combative family 
5,Uri: The Surgical Strike,action drama war adityadhar vickykaushal pareshrawal mohitraina yamigautam indian army special forces execute covert operation avenging killing fellow army men base terrorist group 
6,Badla,crime drama mystery sujoyghosh amitabhbachchan taapseepannu amritasingh antonioaakeel dynamic young entrepreneur finds locked hotel room corpse dead lover hires prestigious lawyer defend work together figure actually happened 
7,Bharat,action drama aliabbaszafar salmankhan katrinakaif sunilgrover tabu cusp india birth independent nation family makes arduous journey freedom cost young boy bharat makes promise father keep family together matter what 
8,The Wandering Earth,action drama sci fi frantgwo jingwu chuxiaoqu guangjieli man tatng sun dying out people around world build giant planet thrusters move earth orbit sail earth new star system yet year journey comes unexpected dangers order save humanity group young people age wandering earth fight hard survival humankind 
9,Super 30,biography drama vikasbahl hrithikroshan mrunalthakur nandishsingh virendrasaxena based life patna based mathematician anand kumar runs famed super program iit aspirants patna 
10,War,action thriller siddharthanand hrithikroshan tigershroff vaanikapoor ashutoshrana indian soldier chases mentor gone rogue unexpected kill 
11,Student of the Year 2,drama romance sport punitmalhotra tigershroff ananyapanday tarasutaria adityaseal student must face bullies overcome hurdles academic romantic win college coveted student year trophy 
12,Saaho,action thriller sujeeth prabhas shraddhakapoor jackieshroff neilnitinmukesh undercover cop becomes embroiled battle warring criminals want acquire black box ultimate key treasure 
13,Kesari,action drama history anuragsingh akshaykumar parineetichopra suvindervicky vanshbhardwaj based incredible true story battle saragarhi army sikhs fought afghans 
14,Gully Boy,drama music zoyaakhtar ranveersingh aliabhatt siddhantchaturvedi vijayraaz coming of age story based lives street rappers mumbai 
15,Article 15,crime drama anubhavsinha ayushmannkhurrana nassar manojpahwa kumudmishra rural heartlands india upright police officer sets crusade violent caste based crimes discrimination 
16,Tumbbad,drama fantasy horror rahianilbarve anandgandhi adeshprasad sohumshah jyotimalshe anitadate ronjinichakraborty mythological story goddess created entire universe plot revolves around consequences humans build temple first born 
17,Stree,comedy horror amarkaushik rajkummarrao shraddhakapoor pankajtripathi aparshaktikhurana small town chanderi menfolk live fear evil spirit named stree abducts men night based urban legend nale ba went viral karnataka 
18,Andhadhun,crime thriller sriramraghavan ayushmannkhurrana tabu radhikaapte anildhawan series mysterious events changes life blind pianist must report crime technically know nothing of 
19,K.G.F: Chapter 1,action drama prashanthneel yash srinidhishetty ramachandraraju archanajois fierce rebel rises brutal oppression becomes symbol hope legions downtrodden people 
20,Badhaai Ho,comedy drama amitravindernathsharma ayushmannkhurrana neenagupta gajrajrao sanyamalhotra man embarrassed finds mother pregnant 
21,October,drama romance shoojitsircar varundhawan banitasandhu gitanjalirao sahilvedoliyaa group interns going usual grind suddenly accident changes lives protagonist can get let go becomes obsessed it lead to love something else 
22,Mulk,drama anubhavsinha taapseepannu rishikapoor prateik ashutoshrana one family member tries help family trapped dark controversy 
23,Sonu Ke Titu Ki Sweety,comedy romance luvranjan kartikaaryan nushratbharucha sunnysinghnijjar aloknath titu going marry perfect woman named sweety titu best friend sonu doubts sweety character tries break marriage sweety tries opposite leads war bromance romance 
24,Race 3,action thriller remod souza anilkapoor salmankhan bobbydeol jacquelinefernandez relationships loyalties criminal family planning next big heist tested shocking revelations strike them 
25,Raid,action crime drama rajkumargupta ajaydevgn ileanad cruz amitbimrot saurabhshukla fearless income tax officer raids mansion powerful man lucknow someone mysteriously draws attention towards evidence 
26,Pad Man,comedy drama balki akshaykumar radhikaapte sonamkapoor jyotisubhash upon realizing extent women affected menses man sets create sanitary pad machine provide inexpensive sanitary pads women rural india 
27,Simmba,action comedy drama rohitshetty ranveersingh saraalikhan sonusood ashutoshrana simmba corrupt officer enjoys perks immoral unethical police officer life changing event forces choose righteous path 
28,Raazi,action drama thriller meghnagulzar aliabhatt vickykaushal rajitkapoor shishirsharma kashmiri woman agrees marry pakistani army officer order spy pakistan indo pakistan war 
29,Parmanu: The Story of Pokhran,action drama history abhisheksharma johnabraham bomanirani dianapenty anujasathe ashwat raina teammates arrive pokhran re conduct confidential nuclear test face challenges american lacrosse satellite local spies 
30,Zero,comedy drama romance aanandl rai shahrukhkhan anushkasharma katrinakaif mohammedzeeshanayyub story revolves around bauua singh shah rukh khan vertically challenged man full charm wit pinch arrogance born wealthy family raised environment affluence challenged broaden horizon find purpose life 
31,Sanju,biography drama rajkumarhirani ranbirkapoor pareshrawal manishakoirala vickykaushal sanju biopic controversial life actor sanjay dutt film career jail sentence personal life 
32,GOLD,drama history sport reemakagti akshaykumar mouniroy kunalkapoor amitsadh journey man instrumental making india win first olympic gold medal free nation 
33,Thugs of Hindostan,action adventure vijaykrishnaacharya aamirkhan katrinakaif amitabhbachchan lloydowen story one man love nation another love power epic adventure filled edge of the seat thrills war seas 
34,Padmaavat,drama history romance sanjayleelabhansali deepikapadukone ranveersingh shahidkapoor aditiraohydari set medieval rajasthan queen padmavati married noble king live prosperous fortress subjects ambitious sultan hears padmavati beauty forms obsessive love queen mewar 
35,Veere Di Wedding,comedy shashankaghosh kareenakapoor sonamkapoor neenagupta swarabhaskar four girls way find true love discover friendship strong consequences 
36,Hotel Mumbai,action drama history anthonymaras devpatel armiehammer nazaninboniadi anupamkher true story taj hotel terrorist attack mumbai hotel staff risk lives keep everyone safe people make unthinkable sacrifices protect families 
37,Ocean's 8,action comedy crime garyross sandrabullock cateblanchett annehathaway mindykaling debbie ocean gathers all female crew attempt impossible heist new york city yearly met gala 
38,2,action sci fi shankar rajinikanth akshaykumar amyjackson adilhussain mobiles start mysteriously flying hands people chennai dr vaseegaran summons trusted robot chitti ward bird shaped supernatural powers pakshirajan 
39,Mowgli: Legend of the Jungle,adventure drama fantasy andyserkis christianbale cateblanchett benedictcumberbatch naomieharris human child raised wolves must face menacing tiger named shere khan well origins 
40,Tomb Raider,action adventure fantasy roaruthaug aliciavikander dominicwest waltongoggins danielwu lara croft alicia vikander fiercely independent daughter missing adventurer must push beyond limits discovers island father lord richard croft dominic west disappeared 
41,Shaadi Mein Zaroor Aana,drama family romance ratnaasinha rajkummarrao kritikharbanda k raina alkaamin satyendra aka sattu rajkummar rao aarti kriti kharbanda meet proposed arranged marriage fall love process night marriage unexpected turn see full summary 
42,Bareilly Ki Barfi,comedy romance ashwinyiyertiwari ayushmannkhurrana kritisanon rajkummarrao pankajtripathi set small town bareilly bitti free spirited young girl lives life terms refuses pressured getting married life takes shift meets chirag dubey pritam vidrohi 
43,Mersal,action thriller atleekumar josephvijay j suryah kajalaggarwal samantharuthprabhu magician doctor attempt expose corruption heart india medical industry 
44,Newton,drama amitmasurkar rajkummarrao pankajtripathi anjalipatil raghuviryadav government clerk election duty conflict ridden jungle central india tries best conduct free fair voting despite apathy security forces looming fear guerrilla attacks communist rebels 
45,The Ghazi Attack,action thriller war sankalpreddy ranadaggubati kaykaymenon atulkulkarni ompuri pakistani submarine ghazi plans secretly attack vizag port so get past indian submarine 
46,Secret Superstar,drama music advaitchandan zairawasim mehervij rajarjun aamirkhan talented teenage singer songwriter living amid domestic abuse becomes youtube sensation video hides identity goes viral 
47,Jab Harry Met Sejal,comedy drama romance imtiazali shahrukhkhan anushkasharma bj rnfreiberg martaviousgayles depressed middle aged tour guide lives bubble gets another chance experience face reality chirpy girl 
48,Jolly LLB 2,comedy drama subhashkapoor akshaykumar humaqureshi saurabhshukla annukapoor jolly clumsy lawyer faced representing critical court case career 
49,Tiger Zinda Hai,action adventure thriller aliabbaszafar salmankhan katrinakaif anupriyagoenka nawabshah group indian pakistani nurses held hostage iraq terrorist organization secret agent drawn hiding rescue them 
50,Tubelight,drama war kabirkhan salmankhan sohailkhan ompuri mohammedzeeshanayyub story two brothers set sino indian war younger one who war borders elder who war world 
51,Victoria & Abdul,biography drama history stephenfrears judidench alifazal timpigott smith eddieizzard queen victoria strikes unlikely friendship young indian clerk named abdul karim 
52,Toilet: A Love Story,comedy drama shreenarayansingh akshaykumar bhumipednekar sudhirpandey divyendusharma woman threatens leave husband unless installs toilet home win back love respect heads journey fight backward society 
53,Hindi Medium,comedy drama saketchaudhary irrfankhan sabaqamar dishitasehgal deepakdobriyal couple chandni chowk aspire give daughter best education thus part accepted elite delhi 
54,Kaabil,action drama thriller sanjaygupta hrithikroshan yamigautam ronitroy rohitroy blind man seeks revenge corrupt politician brother wife raped killed 
55,Baahubali 2: The Conclusion,action drama s rajamouli prabhas ranadaggubati anushkashetty tamannaahbhatia shiva son bahubali learns heritage begins look answers story juxtaposed past events unfolded mahishmati kingdom 
56,Raees,action crime drama rahuldholakia rajarjun shubhamchintamani shubhamtukaram yug bootlegger sets improve community promising leader falls political trap 
57,Geostorm,action sci fi thriller deandevlin gerardbutler jimsturgess abbiecornish alexandramarialara network satellites designed control global climate starts attack earth race clock creator uncover real threat worldwide geostorm wipes everything everyone 
58,Dear Zindagi,drama romance gaurishinde aliabhatt shahrukhkhan kunalkapoor priyankamoodley kaira budding cinematographer search perfect life encounter jug unconventional thinker helps gain new perspective life discovers happiness finding comfort life imperfections 
59,Madaari,adventure drama thriller nishikantkamat irrfankhan jimmysheirgill visheshbansal tushardalvi nirmal loses family disaster caused government corruption embarks journey seeking accountability revenge 
60,Raman Raghav 2.0,crime drama thriller anuragkashyap nawazuddinsiddiqui vickykaushal sobhitadhulipala mukeshchhabra ramanna maniac murderer finds soulmate raghavan policeman inspects murder cases tries make raghavan realize similar 
61,Pink,drama thriller aniruddharoychowdhury taapseepannu amitabhbachchan kirtikulhari andreatariang three young women implicated crime retired lawyer steps forward help clear names 
62,Saala Khadoos,action drama sport sudhakongara madhavan nassar radharavi kaalivenkat story former boxer quits boxing following fallout authorities underlying politics goes coach fisherwoman fulfill dream her 
63,Neerja,biography drama thriller rammadhvani sonamkapoor shabanaazmi yogendratiku abrarzahoor neerja story courageous neerja bhanot sacrificed life protecting lives passengers pan flight flight hijacked terrorist organization 
64,Rustom,crime drama thriller dharmendrasureshdesai akshaykumar ileanad cruz eshagupta manojbajpayee naval officer returns home find wife affair soon surrenders murdering lover case unfolds starts reveal hidden intention 
65,Dangal,action biography drama niteshtiwari aamirkhan sakshitanwar fatimasanashaikh sanyamalhotra former wrestler mahavir singh phogat two wrestler daughters struggle towards glory commonwealth games face societal oppression 
66,Kabali,action crime drama pa ranjith rajinikanth winstonchao radhikaapte dhansika returning prison aged gangster kabali confronts destroyed life so learns happened family gone 
67,Kapoor & Sons,comedy drama romance shakunbatra sidharthmalhotra fawadkhan aliabhatt rajatkapoor story revolving around dysfunctional family brothers visit family discover parents marriage verge collapse the family undergoing financial crunch much drama unfolds 
68,Sultan,action drama sport aliabbaszafar salmankhan anushkasharma hansmarrero randeephooda sultan classic underdog tale wrestler journey looking comeback defeating odds 
69,Te3n,drama mystery thriller ribhudasgupta amitabhbachchan nawazuddinsiddiqui vidyabalan mukeshchhabra grandfather priest police officer investigate case kidnapped child 
70,Ae Dil Hai Mushkil,drama music musical karanjohar ranbirkapoor aishwaryaraibachchan anushkasharma fawadkhan story explores love shapes takes ways changes us exhilarating often terrifying ride takes us on journey two characters alizeh ayan navigate life love heartbreak 
71,Udta Punjab,action crime drama abhishekchaubey shahidkapoor aliabhatt kareenakapoor diljitdosanjh story revolves around drug abuse affluent north indian state punjab youth succumbed en masse resulting socio economic decline 
72,Airlift,drama history rajamenon akshaykumar nimratkaur kumudmishra prakashbelawadi iraq invades kuwait august callous indian businessman becomes spokesperson stranded countrymen 
73,M.S. Dhoni: The Untold Story,biography drama sport neerajpandey sushantsinghrajput kiaraadvani anupamkher dishapatani untold story mahendra singh dhoni journey ticket collector trophy collector world cup winning captain indian cricket team 
74,Lion,biography drama garthdavis devpatel nicolekidman rooneymara sunnypawar five year old indian boy adopted australian couple getting lost hundreds kilometers home years later sets find lost family 
75,The Other Side of the Door,horror johannesroberts sarahwaynecallies jeremysisto sofiarosinsky logancreran young son killed tragic accident woman learns ritual bring back say goodbye disobeys sacred warning upsets balance life death 
76,Captain America: Civil War,action adventure sci fi anthonyrusso joerusso chrisevans robertdowneyjr scarlettjohansson sebastianstan political involvement avengers affairs causes rift captain america iron man 
77,Fan,action drama thriller maneeshsharma shahrukhkhan manojanand sayanigupta carolinamain gaurav develops obsession movie star looks like him goes mumbai meet idol refuses grant five minutes time gaurav enraged plots destroy hero 
78,Wazir,action crime drama bejoynambiar amitabhbachchan farhanakhtar aditiraohydari johnabraham grief stricken cop amputee grandmaster brought together peculiar twist fate part wider conspiracy darkened lives 
79,Talvar,crime drama mystery meghnagulzar irrfankhan konkonasensharma neerajkabi sohumshah experienced investigator confronts several conflicting theories perpetrators violent double homicide 
80,Masaan,drama neerajghaywan richachadha sanjaymishra vickykaushal pankajtripathi along india ganges river four people face prejudice strict moral code punishing caste system confront personal tragedies 
81,Dilwale,action comedy drama rohitshetty shahrukhkhan kajol varundhawan kritisanon siblings two estranged lovers fall other unaware violent past drove apart 
82,Drishyam,crime drama mystery nishikantkamat ajaydevgn shriyasaran tabu rajatkapoor desperate measures taken man tries save family dark side law commit unexpected crime 
83,Pyaar Ka Punchnama 2,comedy drama romance luvranjan kartikaaryan omkarkapoor sunnysinghnijjar nushratbharucha falling love three roommates experience changes lives 
84,Dil Dhadakne Do,comedy drama romance zoyaakhtar anilkapoor shefalishah priyankachopra ranveersingh mehra family must contemplate way living love lives cruise celebrating th wedding anniversary 
85,MSG: The Messenger of God,action comedy drama jeetuarora gurmeetramrahimsingh gurmeetramrahimsingh danielkaleb florasaini jayshreesoni guru ji social reformer works help people fight social evils 
86,Bajrangi Bhaijaan,action comedy drama kabirkhan salmankhan harshaalimalhotra nawazuddinsiddiqui kareenakapoor indian man magnanimous heart takes young mute pakistani girl back homeland reunite family 
87,Baby,action thriller neerajpandey akshaykumar dannydenzongpa ranadaggubati taapseepannu elite counter intelligence unit learns plot masterminded maniacal madman clock ticking track terrorists international tentacles prevent striking heart india 
88,Brothers,action drama sport karanmalhotra akshaykumar sidharthmalhotra jackieshroff jacquelinefernandez two estranged street fighting brothers square mixed martial arts tournament 
89,Piku,comedy drama shoojitsircar deepikapadukone amitabhbachchan irrfankhan moushumichatterjee quirky comedy relationship daughter aging father whose eccentricities drive everyone crazy 
90,NH10,action crime drama navdeepsingh anushkasharma neilbhoopalam darshankumaar deeptinaval way weekend retreat married couple find dream vacation turn nightmare cross paths dangerous gang 
91,Bajirao Mastani,action drama history sanjayleelabhansali ranveersingh deepikapadukone priyankachopra tanviazmi account romance maratha general baji rao mastani princess bundelkhand 
92,City of Revenge,action crime drama sriramraghavan varundhawan nawazuddinsiddiqui yamigautam humaqureshi innocent man turns brutal family gets killed bank robbery one perpetrators escapes years later begins deadly game vengeance 
93,Prem Ratan Dhan Payo,action drama musical soorajr barjatya salmankhan sonamkapoor neilnitinmukesh deepakdobriyal recovering assassination attempt four days coronation stern prince replaced romantic lookalike 
94,Dum Laga Ke Haisha,comedy drama romance sharatkatariya bhumipednekar ayushmannkhurrana devikavatsa sanjaymishra prem oversized wife sandhya supposed spend lifetime together regular arranged marriage turn perfect mismatch 
95,Manjhi: The Mountain Man,adventure biography drama ketanmehta nawazuddinsiddiqui radhikaapte ashutoshacharya shahzadahmad using hammer chisel man spends twenty two years carving road treacherous mountain 
96,Detective Byomkesh Bakshy!,action mystery thriller dibakarbanerjee sushantsinghrajput anandtiwari neerajkabi divyamenon investigating disappearance chemist detective uncovers larger conspiracy unsettle calcutta 
97,Tamasha,comedy drama romance imtiazali deepikapadukone ranbirkapoor nailagrewal piyushmishra tamasha journey someone lost edge trying follow acceptable conventions society film based central theme abrasion loss self that see full summary 
98,Baahubali,action drama s rajamouli prabhas ranadaggubati ramyakrishnan sathyaraj ancient india adventurous daring man becomes involved decades old feud two warring people 
99,Gabbar is Back,action radhakrishnajagarlamudi akshaykumar shrutihaasan kareenakapoor chitrangdasingh grief stricken man takes law hands begins kidnap murder corrupt public servants 
100,Tanu Weds Manu Returns,comedy drama romance aanandl rai kanganaranaut madhavan jimmysheirgill deepakdobriyal tanu manu marriage collapses happens manu meets tanu lookalike kusum tanu returns 
101,Pixels,action comedy sci fi chriscolumbus adamsandler kevinjames michellemonaghan peterdinklage aliens misinterpret video feeds classic arcade games declaration war attack earth form video games 
102,The Bride of Humpty Sharma,comedy drama romance shashankkhaitan varundhawan aliabhatt ashutoshrana sidharthshukla two spoiled brats meet purchase expensive wedding skirt delhi thus begins romance shadow arranged marriage 
103,Mardaani,action crime drama pradeepsarkar ranimukerji tahirrajbhasin priyankasharma monaambegaonkar story shivani shivaji roy crime branch sets confront mastermind behind child trafficking mafia 
104,Haider,crime drama thriller vishalbhardwaj shahidkapoor tabu shraddhakapoor kaykaymenon young man returns kashmir father disappearance confront uncle suspects playing role father fate 
105,Ek Villain,action drama thriller mohitsuri sidharthmalhotra shraddhakapoor riteishdeshmukh shaadrandhawa lover becomes latest victim serial killer guru blurs line good evil pursuit revenge 
106,Hasee Toh Phasee,comedy romance vinilmathew sidharthmalhotra parineetichopra adahsharma manojjoshi nikhil re introduced meeta nearly ten years first meeting now nikhil one week prove worth enough marry meeta sister karishma old acquaintances become quite close other 
107,Highway,crime drama romance imtiazali aliabhatt randeephooda durgeshkumar pradeepnagar right wedding young woman finds abducted held ransom initial days pass begins develop strange bond kidnapper 
108,The Hundred-Foot Journey,comedy drama lassehallstr helenmirren ompuri manishdayal charlottelebon kadam family leaves india france open restaurant directly across road madame mallory michelin starred eatery 
109,Bang Bang,action adventure comedy siddharthanand hrithikroshan katrinakaif pavanmalhotra dannydenzongpa young bank receptionist gets mixed rajveer nanda man mysterious background 
110,I Origins,drama romance sci fi mikecahill michaelpitt stevenyeun astridberg frisbey britmarling molecular biologist laboratory partner uncover evidence may fundamentally change society know it 
111,Gunday,action drama romance aliabbaszafar ranveersingh arjunkapoor priyankachopra irrfankhan lives calcutta powerful gunday bikram bala changes nandita enters it counter force takes charge thriller unfolds 
112,Holiday,action thriller r murugadoss akshaykumar sonakshisinha freddydaruwala sumeetraghvan military officer uses intellect fighting skills hunt knock terrorist aiming rip apart mumbai via sleeper cells command 
113,Happy New Year,action comedy music farahkhan shahrukhkhan deepikapadukone abhishekbachchan anupamkher gang amateur dancers takes part dancing competition avenge personal vendetta 
114,2 States,comedy drama romance abhishekvarman arjunkapoor aliabhatt amritasingh revathy movie chronicles chetan met wife difficulties faced due cultural differences 
115,Kick,action comedy sajidnadiadwala salmankhan jacquelinefernandez nawazuddinsiddiqui randeephooda devi lal singh typical youth anomalous standard living tries find pleasure whatever does eventually becomes thief dons new name devil 
116,PK,comedy drama fantasy rajkumarhirani aamirkhan anushkasharma sanjaydutt bomanirani alien earth loses device use communicate spaceship innocent nature child like questions force country evaluate impact religion people 
117,Million Dollar Arm,biography drama sport craiggillespie jonhamm aasifmandvi alanarkin surajsharma sports agent stages unconventional recruitment strategy get talented indian cricket players play major league baseball 
118,Jai Ho,action drama sohailkhan salmankhan daisyshah tabu dannydenzongpa ex army officer initiates unique idea propagating social responsibility among ordinary people so crosses paths powerful political family 
119,Queen,comedy drama vikasbahl kanganaranaut rajkummarrao lisahaydon jeffreyho delhi girl traditional family sets solo honeymoon marriage gets cancelled 
120,Ugly,crime drama mystery anuragkashyap rahulbhat ronitroy tejaswinikolhapure viineetkumar case missing girl takes us journey human greed brushes upon egos repressed emotions characters 
121,Madras Cafe,action drama thriller shoojitsircar nargisfakhri johnabraham raashikhanna prakashbelawadi indian intelligence agent journeys war torn coastal island break resolute rebel group meets passionate journalist 
122,Jolly LLB,comedy drama subhashkapoor arshadwarsi amritarao bomanirani saurabhshukla small time lawyer files pil court idols case 
123,Go Goa Gone,action adventure comedy krishnad rajnidimoru saifalikhan kunalkhemu virdas anandtiwari group friends looking good time rave party remote island goa find island infested zombies 
124,Special 26,crime drama thriller neerajpandey akshaykumar anupamkher manojbajpayee jimmysheirgill gang con men rob prominent rich businessmen politicians posing b income tax officers 
125,Raanjhanaa,drama romance aanandl rai dhanush sonamkapoor mohammedzeeshanayyub swarabhaskar kundan son hindu pundit discovers childhood sweetheart zoya loves city bred akram wants marry him however persistently seeks win heart 
126,Bhaag milkha bhaag,biography drama sport rakeyshomprakashmehra farhanakhtar sonamkapoor pavanmalhotra artmalik truth behind ascension milkha singh scarred india pakistan partition 
127,The Lunchbox,drama romance riteshbatra irrfankhan nimratkaur nawazuddinsiddiqui lilletedubey mistaken delivery mumbai famously efficient lunchbox delivery system connects young housewife older man dusk life build fantasy world together notes lunchbox 
128,Table No. 21,adventure thriller adityadatt pareshrawal rajeevkhandelwal tinadesai dhruvganesh couple drawn game show whooping winning prize however game turns survival escape 
129,Lootera,drama romance vikramadityamotwane ranveersingh sonakshisinha barunchanda adilhussain aristocrat daughter falls love visiting archaeologist holds secret could drive apart 
130,Goliyon Ki Rasleela Ram-Leela,drama musical romance sanjayleelabhansali ranveersingh deepikapadukone supriyapathak sharadkelkar modern adaptation william shakespeare romeo juliet indian twist film focuses story ram leela love lust drama afterwards 
131,Kai po che!,drama sport abhishekkapoor amitsadh sushantsinghrajput rajkummarrao amritapuri three friends growing india turn millennium set open training academy produce country next cricket stars 
132,Aashiqui 2,drama music musical mohitsuri adityaroykapoor shraddhakapoor shaadrandhawa salilacharya rahul loses fans fame due alcoholism decides turn small time singer rising star 
133,Vishwaroopam,action thriller kamalhaasan poojakumar milesanderson kamalhaasan rahulbose classical dancer suspecting wife sets investigator behind him series violent events triggered revealing real identity connection darker world 
